experiment,system,dataset,target_recall,base_label,slots,k,run_index,recall_at_10,recall_at_100,recall,qps,avg_latency_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,stddev_ms,gpu_mem_peak_mib,effective_concurrent_queries,stage3_threads,nprobe,k_rank_cluster,k_rank_all_tokens,itopk_size,overlap_chunks,binary,log,returncode,command,error_tail,end_to_end_ms,gpu_mem_current_mib,label,min_ms,nq,warmup
chimera_slot_targets,chimera,lotte,0.90,c1,1,100,1,0.957489,0.909311,0.909311,497.827,2.008,1.916,2.149,2.255,2.791,18.381,0.885,,1,32,64,2400,240,128,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.csv,,5887.583,,r090_c1_run1,1.518,-1,5
chimera_slot_targets,chimera,lotte,0.90,c1,1,100,2,0.957489,0.909266,0.909266,491.489,2.034,1.946,2.120,2.220,5.296,17.056,0.859,,1,32,64,2400,240,128,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.csv,,5963.507,,r090_c1_run2,1.537,-1,5
chimera_slot_targets,chimera,lotte,0.90,c1,1,100,3,0.957489,0.90929,0.90929,516.328,1.937,1.878,2.026,2.087,2.492,14.568,0.719,,1,32,64,2400,240,128,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.csv,,5676.625,,r090_c1_run3,1.470,-1,5
chimera_slot_targets,chimera,lotte,0.95,f1,1,100,1,0.962845,0.950693,0.950693,402.044,2.487,2.458,2.625,2.673,4.695,8.111,0.441,,1,32,128,4000,400,192,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.csv,,7290.244,,r095_f1_run1,1.927,-1,5
chimera_slot_targets,chimera,lotte,0.95,f1,1,100,2,0.962811,0.95073,0.95073,426.352,2.345,2.307,2.484,2.532,2.707,9.176,0.396,,1,32,128,4000,400,192,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.csv,,6874.599,,r095_f1_run2,1.862,-1,5
chimera_slot_targets,chimera,lotte,0.95,f1,1,100,3,0.962845,0.950696,0.950696,429.721,2.327,2.284,2.465,2.539,2.657,15.176,0.551,9139.38,1,32,128,4000,400,192,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 1 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots1_runs3.csv,,6820.702,9139.38,r095_f1_run3,1.908,-1,5
chimera_slot_targets,chimera,lotte,0.90,c1,2,100,1,0.957455,0.909256,0.909256,761.674,2.624,2.516,2.771,2.867,7.848,13.246,0.888,,2,16,64,2400,240,128,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 2 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.csv,,3848.103,,r090_c1_run1,1.867,-1,5
chimera_slot_targets,chimera,lotte,0.90,c1,2,100,2,0.957455,0.909263,0.909263,781.492,2.559,2.491,2.751,2.835,4.939,12.837,0.629,,2,16,64,2400,240,128,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 2 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.csv,,3750.520,,r090_c1_run2,1.758,-1,5
chimera_slot_targets,chimera,lotte,0.90,c1,2,100,3,0.957455,0.909253,0.909253,797.108,2.508,2.445,2.641,2.723,3.151,19.223,0.763,,2,16,64,2400,240,128,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 2 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.csv,,3677.043,,r090_c1_run3,1.835,-1,5
chimera_slot_targets,chimera,lotte,0.95,f1,2,100,1,0.962811,0.950699,0.950699,550.412,3.622,3.564,3.871,4.000,6.372,30.091,0.706,,2,16,128,4000,400,192,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 2 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.csv,,5325.099,,r095_f1_run1,2.569,-1,5
chimera_slot_targets,chimera,lotte,0.95,f1,2,100,2,0.96288,0.95073,0.95073,553.253,3.614,3.561,3.853,3.961,6.656,14.457,0.683,,2,16,128,4000,400,192,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 2 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.csv,,5297.761,,r095_f1_run2,2.478,-1,5
chimera_slot_targets,chimera,lotte,0.95,f1,2,100,3,0.962811,0.95072,0.95072,566.826,3.527,3.485,3.736,3.839,4.162,13.789,0.549,9327.38,2,16,128,4000,400,192,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 2 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots2_runs3.csv,,5170.895,9327.38,r095_f1_run3,2.449,-1,5
chimera_slot_targets,chimera,lotte,0.90,c1,4,100,1,0.957421,0.909226,0.909226,953.191,4.193,4.066,4.529,4.806,9.721,19.870,1.129,,4,8,64,2400,240,128,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 4 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.csv,,3074.935,,r090_c1_run1,2.350,-1,5
chimera_slot_targets,chimera,lotte,0.90,c1,4,100,2,0.957387,0.909246,0.909246,985.009,4.057,3.979,4.399,4.600,5.658,15.085,0.795,,4,8,64,2400,240,128,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 4 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.csv,,2975.608,,r090_c1_run2,2.588,-1,5
chimera_slot_targets,chimera,lotte,0.90,c1,4,100,3,0.957387,0.909311,0.909311,982.092,4.069,4.016,4.412,4.583,6.613,16.521,0.693,,4,8,64,2400,240,128,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 4 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.csv,,2984.445,,r090_c1_run3,2.467,-1,5
chimera_slot_targets,chimera,lotte,0.95,f1,4,100,1,0.962845,0.95072,0.95072,657.623,6.078,6.028,6.751,7.026,8.494,18.965,0.807,,4,8,128,4000,400,192,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 4 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.csv,,4456.961,,r095_f1_run1,3.908,-1,5
chimera_slot_targets,chimera,lotte,0.95,f1,4,100,2,0.962845,0.950727,0.950727,663.472,6.026,5.989,6.744,6.980,8.129,14.098,0.713,,4,8,128,4000,400,192,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 4 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.csv,,4417.669,,r095_f1_run2,4.091,-1,5
chimera_slot_targets,chimera,lotte,0.95,f1,4,100,3,0.962845,0.950682,0.950682,663.327,6.027,5.998,6.704,6.990,7.958,12.190,0.651,9705.38,4,8,128,4000,400,192,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 4 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots4_runs3.csv,,4418.637,9705.38,r095_f1_run3,3.793,-1,5
chimera_slot_targets,chimera,lotte,0.90,c1,8,100,1,0.957421,0.909304,0.909304,1060.344,7.537,7.242,10.032,11.193,13.613,18.076,1.923,,8,4,64,2400,240,128,5,gpu_search,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/chimera_slot_targets/logs/20260429T180041Z/lotte/chimera/targets090_095_slots8_runs3.log,0,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/gpu-mvr/build/gpu_search --query /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/query.bin --gt /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/raw/gt.tsv --index /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/dataset/lotte/gpu_mvr_2m --k 100 --nq -1 --warmup 5 --concurrent-queries 8 --config-file /scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/config/tmp/chimera_slot_targets/20260429T180041Z/lotte/chimera/targets090_095_slots8_runs3.csv,,2764.198,,r090_c1_run1,3.439,-1,5
