implementation,dataset,batch_id,label,nprobe,k_rank_cluster,k_rank_all_tokens,itopk_size,overlap_chunks,index_source,index_path,queries,k,warmup,search_seconds,end_to_end_ms,qps,recall,avg_latency_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,stddev_ms,cpu_bind,omp_num_threads,trial_count,trial_batch_ids,trial_log_files,search_seconds_std,end_to_end_ms_std,qps_std,recall_std,avg_latency_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,max_ms_std,stddev_ms_std,log_file
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,a1,16,800,100,64,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,2.273137,2273.137333,440.091333,0.816600,2.273000,2.237000,2.505333,2.643000,3.223667,4.188000,0.244000,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.054936,54.938005,10.590733,0.000000,0.054836,0.059808,0.053594,0.027622,0.470627,0.633663,0.044306,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,a2,24,1000,120,64,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,2.511163,2511.164333,398.259667,0.861800,2.510667,2.448667,2.711333,2.790000,3.283667,25.649333,0.897000,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.029920,29.920779,4.775172,0.000000,0.030288,0.048418,0.049136,0.040632,0.483079,36.975245,1.215046,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,a3,24,1200,150,64,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,2.731687,2731.686667,366.192667,0.873500,2.731000,2.655667,3.034333,3.326667,4.339333,5.659000,0.376000,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.060602,60.603953,8.022585,0.000000,0.060696,0.014434,0.117857,0.442697,1.579503,2.496610,0.260398,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,a4,32,800,100,64,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,2.557070,2557.070333,391.501000,0.867400,2.556333,2.492333,2.896667,3.138000,3.706333,4.813000,0.318333,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.102991,102.992514,15.954137,0.000000,0.102919,0.073853,0.279593,0.554271,1.262009,1.406387,0.215410,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,b1,48,1000,120,96,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,3.125867,3125.867000,320.034000,0.906000,3.125333,3.100000,3.418000,3.516000,3.812333,4.770000,0.244333,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.074621,74.617194,7.707760,0.000000,0.074474,0.069721,0.103184,0.107615,0.168708,0.110594,0.019858,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,b2,48,1500,150,96,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,3.565353,3565.351667,280.518333,0.925500,3.565000,3.550000,3.917333,4.032000,4.346000,5.500333,0.282667,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.053027,53.025906,4.157082,0.000000,0.053075,0.061992,0.060542,0.048135,0.110036,0.241247,0.006506,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,b3,64,1200,150,96,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,3.901450,3901.449667,256.316667,0.925900,3.900667,3.877000,4.277333,4.402000,4.807667,5.740333,0.307667,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.011736,11.737210,0.769890,0.000000,0.011719,0.010000,0.010017,0.026000,0.159378,0.284858,0.017616,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,b4,64,1800,180,96,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,4.417337,4417.333333,226.577333,0.939900,4.417000,4.362333,4.861000,5.072667,6.024333,8.299000,0.484333,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.159108,159.106601,8.173691,0.000000,0.159521,0.102812,0.195056,0.319162,1.492468,4.410680,0.267021,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,c1,64,2400,240,128,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,4.929667,4929.669667,202.951333,0.947500,4.929000,4.899667,5.382667,5.551667,5.856667,6.706333,0.358000,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.131752,131.750718,5.502665,0.000000,0.131936,0.121080,0.151163,0.185904,0.122818,0.411637,0.016093,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,c2,96,1800,200,128,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,5.490380,5490.381333,182.263000,0.947600,5.489667,5.419333,5.986333,6.164333,6.576000,44.814333,1.485333,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.176671,176.671187,5.884654,0.000000,0.176727,0.116903,0.135508,0.156260,0.255740,65.300031,1.887655,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,c3,96,2400,250,128,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,6.020527,6020.526000,166.139333,0.954200,6.020000,5.993333,6.596667,6.775667,7.133333,7.670667,0.438000,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.115206,115.208189,3.208325,0.000000,0.115113,0.112167,0.167279,0.163500,0.185446,0.124649,0.023065,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,d1,128,3000,300,150,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,7.581023,7581.024000,132.023667,0.963600,7.580333,7.548333,8.279667,8.543667,9.277667,10.707000,0.584000,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.271705,271.707776,4.824662,0.000000,0.271758,0.268284,0.327857,0.362473,0.744154,1.967912,0.097015,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,e1,96,3200,320,160,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,6.637573,6637.570667,150.812000,0.960800,6.637000,6.593000,7.233667,7.444667,8.120667,9.990000,0.511333,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.260440,260.441469,5.921277,0.000000,0.260501,0.254501,0.298986,0.323002,0.681969,1.653964,0.070002,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,e2,128,2400,250,160,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,6.988003,6988.005333,143.201667,0.960100,6.987333,6.903333,7.636667,7.906667,9.220667,19.655667,0.843000,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.223885,223.882606,4.659584,0.000000,0.224164,0.169158,0.300776,0.319581,1.660922,9.901047,0.336909,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,f1,128,4000,400,192,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,8.497960,8497.962333,117.896000,0.967600,8.497000,8.400000,9.355000,9.651000,10.409000,47.452000,1.611667,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.452701,452.701460,6.220995,0.000000,0.452799,0.359939,0.591124,0.660827,0.979565,63.435480,1.754593,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,f2,160,3800,360,192,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,9.134373,9134.372000,109.481333,0.968200,9.133667,9.072000,10.019000,10.304667,11.150333,16.093333,0.732667,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.072727,72.728703,0.873138,0.000000,0.072666,0.054111,0.119202,0.107058,0.354791,3.435777,0.068193,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,g1,160,5000,500,224,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,10.296867,10296.829333,97.138000,0.970900,10.296333,10.207333,11.254667,11.606000,12.954000,17.838000,0.854333,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.184942,184.935496,1.741422,0.000000,0.184479,0.142075,0.267096,0.369582,0.943303,5.798943,0.174506,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,g2,160,6000,500,224,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,10.855567,10855.583333,92.130333,0.972500,10.855000,10.690000,11.828000,12.251000,13.005667,100.911333,3.266333,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.150260,150.256769,1.270292,0.000000,0.149923,0.032512,0.150960,0.294623,0.591609,134.176925,3.919348,
cpu_search_fast_dynamic,hotpot,avg_cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10,h1,192,6500,650,256,5,nfs,/mnt/nfs/home/juelinliu/work1/gpu-mvr/dataset/hotpot/gpu_mvr_2m,1000,10,5,13.079133,13079.139667,76.496667,0.973300,13.078667,12.970333,14.446667,14.841000,16.257333,29.433667,1.299667,openmp,32,3,"cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t1,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t2,cpu_v3_fast_vs_parallel_t32_3trial_20260425T203556Z_cpu_search_fast_dynamic_k10_t3","/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679168_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679170_task1_config_chunk_001.log,/mnt/nfs/home/juelinliu/work1/gpu-mvr/slurm/logs/cpu_search_fast_dynamic/hotpot/benchmark_k10_20260425T203558Z_job28679172_task1_config_chunk_001.log",0.364154,364.176606,2.096392,0.000000,0.364308,0.390371,0.631026,0.627031,0.612234,9.615242,0.050639,
